,시가총액,티커,year,회사명,거래소코드,회계년도,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),1주당순이익(IFRS)(원),유동자산(*)(요약)(IFRS연결)(백만원),부채(*)(요약)(IFRS연결)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원),매출총이익(손실)(요약)(IFRS연결)(백만원),계속영업이익(손실)(요약)(IFRS연결)(백만원)
242,38726660960,002030,2000,아세아(주),002030,1999/12,,,,,,,,,,,,,,,
243,38574579655,004710,2000,한솔테크닉스(주),004710,1999/12,,,,,,,,,,,,,,,
244,38410400000,002250,2000,알보젠코리아(주),002250,1999/12,,,,,,,,,,,,,,,
245,38315754480,002860,2000,(주)하나은행,002860,1999/12,,,,,,,,,,,,,,,
246,38040000000,013520,2000,(주)화승코퍼레이션,013520,1999/12,,,,,,,,,,,,,,,
247,38013645600,008490,2000,(주)서흥,008490,1999/12,,,,,,,,,,,,,,,
248,37440626600,000220,2000,(주)유유제약,000220,1999/03,,,,,,,,,,,,,,,
249,37031885000,004080,2000,(주)신흥,004080,1999/12,,,,,,,,,,,,,,,
250,36930898830,005600,2000,중앙제지(주),005600,1999/12,,,,,,,,,,,,,,,
251,36872408800,001060,2000,제이더블유중외제약(주),001060,1999/12,,,,,,,,,,,,,,,
252,36465000000,016710,2000,대성홀딩스(주),016710,1999/12,,,,,,,,,,,,,,,
253,36036869320,006350,2000,(주)전북은행,006350,1999/12,,,,,,,,,,,,,,,
254,36000672000,008080,2000,(주)에스와이코퍼레이션,008080,1999/10,,,,,,,,,,,,,,,
255,35999661250,000320,2000,(주)노루홀딩스,000320,1999/12,,,,,,,,,,,,,,,
256,35985583310,002300,2000,한국제지(주),002300,1999/12,,,,,,,,,,,,,,,
257,35663266300,001790,2000,대한제당(주),001790,1999/12,,,,,,,,,,,,,,,
258,35357358960,004460,2000,(주)고합,004460,1999/12,,,,,,,,,,,,,,,
259,35280000000,004840,2000,(주)디알비동일,004840,1999/12,,,,,,,,,,,,,,,
260,35200000000,004430,2000,송원산업(주),004430,1999/12,,,,,,,,,,,,,,,
261,35084043000,000080,2000,하이트진로(주),000080,1999/09,,,,,,,,,,,,,,,
262,35057800000,016450,2000,한세예스24홀딩스(주),016450,1999/12,,,,,,,,,,,,,,,
263,34700000000,003050,2000,넥상스코리아(주),003050,1999/09,,,,,,,,,,,,,,,
264,34597031040,014790,2000,에이치엘디앤아이한라(주),014790,1999/12,,,,,,,,,,,,,,,
265,34582791075,014680,2000,(주)한솔케미칼,014680,1999/12,,,,,,,,,,,,,,,
266,34493892480,000020,2000,동화약품(주),000020,1999/03,,,,,,,,,,,,,,,
267,34383360000,011020,2000,코오롱유화(주),011020,1999/12,,,,,,,,,,,,,,,
268,34065256680,007860,2000,(주)서연,007860,1999/12,,,,,,,,,,,,,,,
269,33740672400,002900,2000,티와이엠(주),002900,1999/12,,,,,,,,,,,,,,,
270,33670903800,008020,2000,경남에너지(주),008020,1999/12,,,,,,,,,,,,,,,
271,33667626000,017800,2000,현대엘리베이터(주),017800,1999/12,,,,,,,,,,,,,,,
272,33400000000,000480,2000,(주)시알홀딩스,000480,1999/12,,,,,,,,,,,,,,,
273,33349167240,003980,2000,(주)한일합섬,003980,1999/12,,,,,,,,,,,,,,,
274,33074000000,004910,2000,조광페인트(주),004910,1999/12,,,,,,,,,,,,,,,
275,32957282330,006370,2000,(주)대구백화점,006370,1999/03,,,,,,,,,,,,,,,
